                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.3735,                 1.2089,                 2.7499,                 0.9097,                0.89323,                0.94515,                0.58266,                 2.6583,                 1.1302,                 3.1036,             0.00037471,             0.00037471,             0.00037471
                     50,                  2.392,                 1.2138,                 2.7675,                0.94715,                0.88276,                0.96157,                0.60748,                 2.6406,                 1.0781,                 3.1589,             0.00036764,             0.00036764,             0.00036764
                     51,                 2.3463,                 1.1902,                 2.7836,                0.92861,                0.89711,                0.95087,                0.61358,                 2.6728,                 1.1407,                 3.1401,             0.00036057,             0.00036057,             0.00036057
                     52,                 2.3068,                 1.1821,                 2.7627,                0.92363,                0.89361,                0.95338,                0.60412,                 2.6508,                 1.1247,                 3.1067,              0.0003535,              0.0003535,              0.0003535
                     53,                 2.2825,                 1.1552,                 2.6952,                0.93395,                0.90556,                 0.9649,                0.60898,                 2.6688,                 1.0644,                 3.1167,             0.00034643,             0.00034643,             0.00034643
                     54,                 2.3274,                 1.1664,                 2.6931,                0.93901,                  0.867,                0.95557,                0.59918,                 2.7185,                 1.1045,                 3.1133,             0.00033936,             0.00033936,             0.00033936
                     55,                 2.2754,                 1.1682,                 2.7208,                0.93198,                0.87742,                0.95538,                0.58455,                 2.7701,                 1.1215,                 3.2026,              0.0003323,              0.0003323,              0.0003323
                     56,                 2.2629,                 1.1044,                 2.6666,                0.89114,                0.92745,                0.95302,                0.60397,                 2.6897,                 1.0664,                 3.1637,             0.00032523,             0.00032523,             0.00032523
                     57,                 2.2026,                 1.0669,                 2.6332,                0.93584,                0.85714,                0.96117,                0.60184,                 2.7391,                 1.0709,                 3.1658,             0.00031816,             0.00031816,             0.00031816
                     58,                 2.1896,                 1.1023,                 2.6344,                0.90683,                0.89163,                0.95611,                0.60076,                 2.7652,                 1.0981,                 3.2206,             0.00031109,             0.00031109,             0.00031109
                     59,                 2.2275,                 1.0833,                 2.6982,                0.92622,                0.92767,                0.96896,                0.60815,                 2.6936,                 1.0383,                 3.1653,             0.00030402,             0.00030402,             0.00030402
                     60,                 2.1326,                 1.0372,                 2.5929,                0.95752,                 0.8867,                0.95959,                0.61227,                 2.6867,                 1.0987,                  3.156,             0.00029695,             0.00029695,             0.00029695
                     61,                  2.154,                 1.0546,                 2.6211,                0.95436,                0.90148,                0.96764,                0.60449,                 2.7213,                 1.0722,                 3.1985,             0.00028988,             0.00028988,             0.00028988
                     62,                 2.1665,                 1.0542,                 2.6135,                0.90287,                0.91583,                 0.9635,                0.58793,                 2.7283,                 1.0558,                  3.227,             0.00028282,             0.00028282,             0.00028282
                     63,                    2.2,                 1.0397,                 2.6427,                0.96878,                  0.867,                0.95969,                0.57619,                 2.7109,                 1.0632,                 3.1682,             0.00027575,             0.00027575,             0.00027575
                     64,                 2.1737,                  1.039,                  2.653,                0.91768,                0.91133,                 0.9564,                0.56351,                 2.7156,                  1.044,                 3.1942,             0.00026868,             0.00026868,             0.00026868
                     65,                 2.1078,                 1.0492,                 2.5719,                0.91788,                 0.9064,                0.95701,                0.55892,                 2.7555,                 1.0826,                 3.2572,             0.00026161,             0.00026161,             0.00026161
                     66,                 2.0807,                 1.0328,                  2.575,                0.91206,                0.87192,                0.95722,                0.58444,                 2.6595,                 1.0374,                 3.1659,             0.00025454,             0.00025454,             0.00025454
                     67,                 2.0675,                0.97653,                 2.5979,                0.94464,                0.89655,                0.96532,                0.56645,                 2.8118,                 1.0418,                 3.2533,             0.00024747,             0.00024747,             0.00024747
                     68,                  2.068,                 1.0065,                 2.5813,                0.88553,                0.93103,                0.95957,                0.60666,                 2.7096,                 1.0492,                 3.1862,              0.0002404,              0.0002404,              0.0002404
                     69,                 2.0886,                0.98007,                 2.5513,                0.89667,                0.87192,                0.94956,                0.55729,                 2.7334,                 1.1357,                 3.2472,             0.00023334,             0.00023334,             0.00023334
                     70,                 2.0949,                  1.026,                 2.5809,                0.93015,                0.94089,                0.96699,                0.61521,                 2.6752,                 1.0189,                 3.2113,             0.00022627,             0.00022627,             0.00022627
                     71,                 2.0535,                0.99265,                 2.5766,                0.89374,                0.91133,                0.95604,                0.57531,                 2.6601,                 1.0471,                 3.1532,              0.0002192,              0.0002192,              0.0002192
                     72,                 2.0097,                0.96031,                 2.5638,                0.89913,                0.92208,                0.95977,                0.58197,                 2.7653,                 1.0724,                   3.21,             0.00021213,             0.00021213,             0.00021213
                     73,                 2.0148,                0.96418,                 2.5085,                 0.8981,                0.91173,                0.95741,                 0.5942,                 2.7639,                 1.0581,                 3.2227,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.9876,                0.95291,                 2.4795,                0.93816,                0.89674,                0.96214,                0.59598,                 2.8052,                 1.0635,                  3.296,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.9567,                0.91632,                 2.4757,                0.91863,                0.93103,                0.96462,                0.61097,                 2.6897,                  1.009,                  3.184,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.9765,                0.94432,                 2.5112,                0.95272,                0.89338,                0.95881,                0.58982,                 2.6402,                 1.0307,                 3.2046,             0.00018385,             0.00018385,             0.00018385
                     77,                 2.0001,                0.98322,                 2.5061,                0.92946,                0.90872,                0.96467,                0.62159,                 2.6982,                  1.012,                 3.1879,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.9126,                0.92791,                 2.4802,                0.94073,                0.88177,                0.96276,                 0.6118,                 2.6567,                 1.0204,                 3.1953,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.8983,                0.90338,                 2.4595,                0.95697,                0.86207,                0.96707,                0.57948,                 2.6899,                 1.0322,                 3.2068,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.9049,                0.92553,                 2.4321,                0.90148,                0.90155,                0.94218,                0.56542,                  2.727,                 1.0931,                 3.2843,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.8586,                0.90208,                 2.3966,                0.88751,                  0.855,                0.94564,                0.57719,                 2.6728,                 1.0926,                 3.2308,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.8879,                0.92403,                 2.4433,                0.91418,                0.93596,                0.96919,                   0.61,                 2.6796,                0.97538,                 3.2836,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.9042,                0.87024,                 2.4272,                0.94787,                0.89563,                0.96463,                0.60705,                 2.6942,                 1.0148,                 3.2802,             0.00013437,             0.00013437,             0.00013437
                     84,                  1.869,                0.87704,                 2.4157,                0.91478,                0.89163,                  0.955,                0.58283,                 2.6984,                 1.0511,                 3.2528,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.8124,                0.86874,                  2.399,                0.89347,                0.90891,                0.94853,                0.59556,                  2.685,                 1.0645,                 3.2416,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.8458,                0.89045,                 2.4045,                0.95323,                0.90353,                0.95579,                0.58637,                  2.696,                 1.0053,                 3.2596,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.7951,                0.87768,                 2.4019,                0.91453,                0.89608,                0.95347,                0.57429,                 2.6665,                 1.0485,                 3.2329,              0.0001061,              0.0001061,              0.0001061
