                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.2971,                 1.7156,                 2.5955,                0.70317,                0.92949,                0.75729,                0.43683,                  2.992,                 1.6433,                 3.3921,             0.00040298,             0.00040298,             0.00040298
                     68,                 2.2482,                  1.743,                 2.5869,                0.70161,                0.92921,                0.74387,                0.42501,                 3.0042,                 1.6045,                 3.4153,             0.00039827,             0.00039827,             0.00039827
                     69,                 2.2264,                 1.7133,                  2.589,                0.70345,                0.93424,                0.75351,                0.43733,                 2.9528,                 1.5881,                  3.388,             0.00039356,             0.00039356,             0.00039356
                     70,                 2.2731,                 1.7299,                  2.589,                0.69933,                0.94278,                0.77987,                0.44711,                 2.9958,                 1.5493,                 3.4264,             0.00038884,             0.00038884,             0.00038884
                     71,                 2.2471,                  1.691,                 2.5912,                0.71305,                0.94378,                0.74788,                0.42893,                  3.008,                 1.5819,                 3.4465,             0.00038413,             0.00038413,             0.00038413
                     72,                 2.2215,                 1.6811,                 2.5804,                0.71728,                0.89816,                0.75957,                0.43033,                 3.0299,                 1.5668,                 3.4845,             0.00037942,             0.00037942,             0.00037942
                     73,                 2.2036,                  1.666,                 2.5671,                 0.6864,                0.93621,                0.75275,                0.42628,                 2.9963,                 1.6578,                  3.483,             0.00037471,             0.00037471,             0.00037471
                     74,                 2.2208,                   1.69,                 2.5883,                0.70438,                 0.9062,                0.74654,                0.42674,                  3.022,                 1.6693,                 3.4497,             0.00036999,             0.00036999,             0.00036999
                     75,                 2.1844,                 1.6044,                 2.5436,                0.69547,                0.90505,                0.75748,                0.42601,                 3.0717,                 1.7514,                 3.4755,             0.00036528,             0.00036528,             0.00036528
                     76,                 2.1761,                 1.6612,                 2.5461,                0.71237,                0.91982,                0.75699,                0.43265,                 3.0363,                  1.616,                 3.4919,             0.00036057,             0.00036057,             0.00036057
                     77,                 2.2066,                   1.66,                 2.5659,                0.70046,                0.91305,                0.75021,                0.42519,                 3.0297,                 1.6235,                 3.5359,             0.00035586,             0.00035586,             0.00035586
                     78,                 2.1496,                 1.5777,                 2.5394,                 0.6991,                0.92185,                  0.759,                  0.442,                 2.9902,                 1.6389,                 3.4865,             0.00035115,             0.00035115,             0.00035115
                     79,                 2.1506,                 1.6178,                 2.5275,                0.70486,                0.89831,                0.76092,                0.43736,                 2.9859,                 1.6851,                 3.5094,             0.00034643,             0.00034643,             0.00034643
                     80,                 2.1484,                 1.6271,                 2.5369,                0.69946,                0.91561,                0.76351,                0.43336,                 3.0522,                 1.6667,                 3.5844,             0.00034172,             0.00034172,             0.00034172
                     81,                 2.1384,                 1.5846,                 2.5284,                0.69023,                0.92241,                0.74888,                0.42848,                 3.0334,                 1.6753,                 3.5284,             0.00033701,             0.00033701,             0.00033701
                     82,                 2.1404,                 1.5522,                  2.517,                0.69703,                  0.901,                0.76028,                0.42931,                 3.0539,                 1.6971,                 3.5134,              0.0003323,              0.0003323,              0.0003323
                     83,                  2.109,                 1.5524,                 2.4958,                0.70243,                0.89684,                0.75411,                0.43225,                 3.0273,                 1.7174,                 3.5277,             0.00032758,             0.00032758,             0.00032758
                     84,                 2.1364,                 1.6001,                  2.516,                0.70591,                0.91559,                0.75061,                0.42921,                 3.0091,                 1.6749,                 3.5151,             0.00032287,             0.00032287,             0.00032287
                     85,                 2.0999,                 1.5573,                 2.4953,                0.69787,                0.89665,                0.74804,                0.42209,                  3.068,                 1.8006,                 3.5652,             0.00031816,             0.00031816,             0.00031816
                     86,                 2.0771,                 1.5586,                 2.4999,                0.68886,                0.87077,                0.74209,                0.42325,                 3.0366,                 1.7694,                 3.5292,             0.00031345,             0.00031345,             0.00031345
                     87,                 2.0631,                 1.5207,                 2.4915,                0.69101,                0.88784,                0.74321,                0.42173,                  3.083,                 1.7484,                 3.5732,             0.00030873,             0.00030873,             0.00030873
                     88,                 2.0802,                 1.5126,                 2.4851,                0.69556,                0.89196,                0.74226,                0.42352,                 3.0581,                  1.719,                 3.5485,             0.00030402,             0.00030402,             0.00030402
                     89,                 2.0708,                 1.5163,                 2.5013,                0.69302,                 0.9002,                0.75785,                0.42538,                 3.0508,                 1.7628,                 3.5786,             0.00029931,             0.00029931,             0.00029931
                     90,                 2.0405,                 1.4572,                 2.4504,                0.69591,                 0.8866,                0.74922,                0.42608,                 3.0731,                 1.8433,                 3.6182,              0.0002946,              0.0002946,              0.0002946
                     91,                 2.0503,                 1.5224,                 2.4852,                 0.7047,                0.89664,                 0.7478,                0.42457,                 3.0627,                 1.7847,                 3.5794,             0.00028988,             0.00028988,             0.00028988
                     92,                 2.0169,                 1.4967,                 2.4649,                0.68675,                0.88735,                0.74011,                0.41152,                  3.125,                 1.9322,                 3.6156,             0.00028517,             0.00028517,             0.00028517
                     93,                 2.0125,                 1.4474,                 2.4486,                0.71633,                0.91036,                0.75634,                0.43201,                 3.0134,                 1.6796,                 3.5576,             0.00028046,             0.00028046,             0.00028046
                     94,                 2.0082,                 1.4363,                 2.4556,                0.69441,                0.88233,                 0.7502,                0.41986,                 3.1095,                 1.9059,                 3.6374,             0.00027575,             0.00027575,             0.00027575
                     95,                 2.0132,                 1.4618,                 2.4571,                0.70894,                0.89302,                0.74798,                0.42521,                 3.0619,                 1.8229,                 3.5779,             0.00027103,             0.00027103,             0.00027103
                     96,                 1.9987,                 1.4185,                 2.4398,                0.68793,                0.88088,                0.75093,                0.42238,                 3.0878,                 1.8037,                 3.6332,             0.00026632,             0.00026632,             0.00026632
                     97,                 1.9819,                 1.4387,                 2.4371,                0.72806,                 0.8917,                0.75424,                0.42481,                 3.0679,                  1.759,                 3.6238,             0.00026161,             0.00026161,             0.00026161
                     98,                 1.9581,                 1.4018,                  2.405,                0.69732,                0.91408,                0.75659,                0.41719,                  3.143,                 1.7913,                   3.74,              0.0002569,              0.0002569,              0.0002569
                     99,                 1.9579,                 1.4086,                 2.4157,                0.70742,                0.89411,                0.76629,                0.42764,                  3.131,                 1.8275,                 3.7468,             0.00025218,             0.00025218,             0.00025218
                    100,                 1.9535,                 1.3849,                 2.4027,                0.71045,                0.89621,                0.75835,                0.42898,                 3.0461,                 1.8251,                  3.632,             0.00024747,             0.00024747,             0.00024747
                    101,                 1.9436,                 1.3922,                 2.3963,                0.69124,                0.90914,                0.76084,                0.42613,                 3.1064,                 1.7513,                  3.679,             0.00024276,             0.00024276,             0.00024276
                    102,                 1.9425,                 1.3976,                 2.4068,                0.69138,                0.88105,                0.74202,                0.41524,                 3.1362,                 1.8054,                 3.7393,             0.00023805,             0.00023805,             0.00023805
                    103,                 1.9415,                 1.4106,                 2.3973,                0.69453,                0.89973,                0.74808,                0.41996,                 3.1176,                 1.8353,                 3.7232,             0.00023334,             0.00023334,             0.00023334
                    104,                 1.9244,                 1.4008,                 2.3997,                0.70649,                0.90423,                0.76106,                0.42697,                 3.1127,                 1.7977,                 3.7528,             0.00022862,             0.00022862,             0.00022862
                    105,                 1.9217,                  1.369,                 2.3878,                0.70287,                0.84067,                0.74143,                 0.4146,                  3.101,                 1.9933,                 3.7381,             0.00022391,             0.00022391,             0.00022391
                    106,                 1.8969,                 1.3562,                 2.3761,                0.67976,                 0.8813,                0.74291,                0.40837,                 3.1906,                 2.0411,                 3.8051,              0.0002192,              0.0002192,              0.0002192
                    107,                 1.8841,                 1.3787,                 2.3789,                0.68989,                0.88805,                0.74184,                0.41054,                 3.1428,                 1.8679,                 3.7433,             0.00021449,             0.00021449,             0.00021449
                    108,                 1.8625,                 1.3356,                 2.3562,                0.70612,                0.87426,                 0.7404,                0.41208,                  3.108,                 1.8924,                 3.7615,             0.00020977,             0.00020977,             0.00020977
                    109,                 1.8514,                  1.314,                 2.3465,                0.70267,                0.86582,                0.73916,                0.41548,                 3.1364,                 1.9481,                 3.7666,             0.00020506,             0.00020506,             0.00020506
                    110,                 1.8623,                 1.3417,                 2.3518,                0.70204,                0.89518,                0.73753,                0.41488,                 3.1234,                 1.8837,                 3.7993,             0.00020035,             0.00020035,             0.00020035
                    111,                 1.8446,                 1.3066,                 2.3549,                0.69196,                0.87634,                 0.7294,                0.40928,                 3.1494,                 1.9703,                 3.7692,             0.00019564,             0.00019564,             0.00019564
                    112,                  1.842,                 1.3296,                 2.3603,                0.69286,                0.87299,                0.74259,                0.41723,                 3.1204,                  1.989,                 3.7945,             0.00019092,             0.00019092,             0.00019092
                    113,                 1.8451,                 1.3251,                 2.3511,                0.69959,                0.88227,                0.75483,                0.42499,                 3.1145,                 1.9404,                 3.7816,             0.00018621,             0.00018621,             0.00018621
                    114,                 1.8263,                 1.2738,                 2.3436,                0.68134,                0.85838,                0.73432,                0.40894,                 3.1631,                 2.1478,                 3.8125,              0.0001815,              0.0001815,              0.0001815
                    115,                 1.8258,                 1.3461,                 2.3455,                0.70261,                0.88124,                0.74757,                0.42097,                 3.1111,                 2.0062,                 3.7959,             0.00017679,             0.00017679,             0.00017679
                    116,                 1.8031,                 1.2817,                 2.3289,                0.69654,                0.85807,                 0.7368,                0.41765,                 3.1082,                 2.0261,                 3.7884,             0.00017207,             0.00017207,             0.00017207
                    117,                 1.8069,                 1.2849,                 2.3159,                0.67985,                0.85422,                0.73296,                0.40775,                 3.1598,                 2.1699,                 3.7931,             0.00016736,             0.00016736,             0.00016736
                    118,                 1.7865,                 1.2687,                 2.3151,                0.70067,                0.90592,                0.75039,                0.42259,                 3.1174,                  1.948,                 3.8361,             0.00016265,             0.00016265,             0.00016265
                    119,                 1.7811,                 1.2746,                  2.305,                0.68793,                  0.871,                0.73468,                0.41388,                 3.1301,                 2.0816,                 3.8141,             0.00015794,             0.00015794,             0.00015794
                    120,                  1.782,                 1.2654,                  2.305,                0.68116,                0.87637,                0.74327,                0.41489,                 3.1477,                 2.0384,                 3.8126,             0.00015322,             0.00015322,             0.00015322
                    121,                 1.7521,                 1.2577,                 2.3011,                0.68951,                0.87019,                0.74141,                0.41606,                 3.1327,                 2.0628,                 3.7984,             0.00014851,             0.00014851,             0.00014851
                    122,                  1.749,                 1.2559,                  2.303,                0.69268,                0.88933,                0.74657,                0.41884,                 3.1415,                 2.0213,                 3.8173,              0.0001438,              0.0001438,              0.0001438
                    123,                 1.7714,                 1.2734,                 2.3168,                0.69759,                0.87949,                 0.7412,                0.41458,                 3.1726,                 2.0737,                 3.8813,             0.00013909,             0.00013909,             0.00013909
                    124,                 1.7081,                 1.2187,                 2.2668,                0.69203,                0.86402,                0.73621,                0.41461,                  3.146,                 2.0827,                 3.8404,             0.00013437,             0.00013437,             0.00013437
                    125,                 1.7253,                 1.2549,                 2.2803,                0.69097,                  0.863,                0.73259,                0.41148,                 3.1374,                 2.0278,                 3.8667,             0.00012966,             0.00012966,             0.00012966
                    126,                 1.7183,                 1.2333,                 2.2816,                0.68914,                0.87412,                0.74807,                0.41887,                 3.1355,                 2.0459,                 3.8904,             0.00012495,             0.00012495,             0.00012495
                    127,                 1.7199,                 1.2078,                 2.2725,                0.69981,                 0.8699,                0.74632,                0.41446,                 3.1414,                  2.069,                 3.8718,             0.00012024,             0.00012024,             0.00012024
                    128,                 1.7128,                 1.2229,                 2.2845,                0.69302,                0.87825,                0.74011,                0.41334,                 3.1612,                 2.1229,                 3.8996,             0.00011553,             0.00011553,             0.00011553
                    129,                 1.7007,                 1.2252,                 2.2721,                 0.7041,                0.88932,                0.74321,                0.42051,                  3.132,                  2.013,                 3.8787,             0.00011081,             0.00011081,             0.00011081
                    130,                 1.7042,                 1.1953,                 2.2572,                0.68744,                0.86781,                0.73831,                0.41227,                 3.1582,                 2.1523,                 3.9262,              0.0001061,              0.0001061,              0.0001061
                    131,                 1.6835,                 1.2049,                 2.2491,                0.69031,                0.88824,                0.74235,                 0.4161,                 3.1413,                 2.0564,                 3.9204,             0.00010139,             0.00010139,             0.00010139
                    132,                 1.6728,                 1.1932,                 2.2475,                0.68106,                0.86091,                0.72724,                0.40769,                 3.1556,                 2.1272,                  3.925,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    133,                 1.6713,                 1.2004,                 2.2393,                0.68082,                0.84863,                0.72856,                0.40708,                 3.1855,                 2.1923,                 3.9421,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    134,                 1.6735,                 1.2058,                 2.2426,                0.69191,                0.87106,                0.73652,                0.41203,                 3.1732,                 2.1084,                 3.9753,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    135,                 1.6595,                 1.1938,                 2.2264,                 0.6862,                0.86424,                0.73363,                0.41244,                 3.1551,                 2.1434,                 3.9506,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    136,                 1.6427,                 1.1747,                 2.2269,                 0.6937,                0.86342,                0.73955,                0.40789,                 3.1763,                 2.1338,                 3.9818,             7.7826e-05,             7.7826e-05,             7.7826e-05
