epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4334.33,1.16184,0.89539,1.18684,0.5794,0.75567,0.67368,0.47431,1.03096,1.16444,1.15103,0.0010496,0.0010496,0.0010496
74,4391.09,1.16671,0.90543,1.17553,0.60024,0.73244,0.68942,0.49426,1.03301,1.10538,1.14991,0.0010364,0.0010364,0.0010364
75,4448.04,1.19176,0.89361,1.17032,0.61293,0.7376,0.70533,0.5045,1.00578,1.11175,1.12992,0.0010232,0.0010232,0.0010232
76,4506.48,1.14845,0.86937,1.16879,0.57705,0.72727,0.67587,0.49297,1.04713,1.17607,1.17824,0.00101,0.00101,0.00101
77,4563.2,1.14719,0.85814,1.16911,0.58535,0.75103,0.67638,0.48626,1.03998,1.11968,1.16841,0.0009968,0.0009968,0.0009968
78,4620.17,1.17017,0.90043,1.19088,0.59321,0.7472,0.67854,0.4836,1.00341,1.13224,1.13599,0.0009836,0.0009836,0.0009836
79,4677.3,1.16647,0.87972,1.17149,0.59348,0.6847,0.6785,0.4905,0.98833,1.20131,1.12081,0.0009704,0.0009704,0.0009704
80,4735.02,1.15673,0.8797,1.16803,0.57909,0.74617,0.68501,0.49136,1.01724,1.09063,1.15254,0.0009572,0.0009572,0.0009572
81,4791.79,1.16201,0.88758,1.1791,0.55143,0.74672,0.65975,0.47509,1.03567,1.10655,1.16521,0.000944,0.000944,0.000944
82,4848.82,1.14163,0.86181,1.16277,0.55183,0.78616,0.6517,0.47241,1.00815,1.23338,1.15788,0.0009308,0.0009308,0.0009308
83,4906.8,1.17685,0.87888,1.17357,0.61474,0.74014,0.68962,0.49715,1.01509,1.04639,1.15364,0.0009176,0.0009176,0.0009176
84,4963.92,1.11832,0.84828,1.16316,0.5901,0.75106,0.67465,0.47937,1.02074,1.14736,1.1523,0.0009044,0.0009044,0.0009044
85,5020.89,1.16184,0.85882,1.166,0.61104,0.71074,0.68752,0.49068,1.00344,1.12136,1.14175,0.0008912,0.0008912,0.0008912
86,5078.51,1.13983,0.86285,1.16566,0.56018,0.73419,0.66902,0.47661,1.01562,1.13966,1.15644,0.000878,0.000878,0.000878
87,5135.83,1.13127,0.84757,1.15045,0.55826,0.72981,0.68111,0.49909,0.99598,1.07502,1.14594,0.0008648,0.0008648,0.0008648
88,5192.98,1.13301,0.8195,1.14734,0.59575,0.75207,0.67092,0.47832,1.01256,1.15371,1.13166,0.0008516,0.0008516,0.0008516
89,5250.27,1.13063,0.83882,1.13936,0.59219,0.74174,0.66965,0.48124,1.01384,1.16722,1.13045,0.0008384,0.0008384,0.0008384
90,5308.19,1.10055,0.81793,1.14799,0.56914,0.75737,0.66931,0.48342,1.00198,1.19665,1.14539,0.0008252,0.0008252,0.0008252
91,5365.57,1.12135,0.82583,1.14894,0.57145,0.7232,0.66771,0.47945,1.0432,1.13019,1.16032,0.000812,0.000812,0.000812
92,5422.84,1.12398,0.82981,1.14124,0.52233,0.77718,0.64682,0.47496,1.01073,1.16093,1.15274,0.0007988,0.0007988,0.0007988
93,5480.69,1.119,0.83526,1.14122,0.5733,0.7438,0.66978,0.48319,1.00999,1.16306,1.15149,0.0007856,0.0007856,0.0007856
94,5538.37,1.12211,0.82542,1.14768,0.58346,0.7345,0.6693,0.47947,0.99545,1.17875,1.13649,0.0007724,0.0007724,0.0007724
95,5595.41,1.12753,0.82052,1.14466,0.56434,0.76446,0.65645,0.47478,1.01109,1.2885,1.14129,0.0007592,0.0007592,0.0007592
96,5657.86,1.09577,0.81384,1.13657,0.58822,0.76343,0.69049,0.49659,0.98916,1.11205,1.13593,0.000746,0.000746,0.000746
97,5720.71,1.09053,0.80959,1.14324,0.56327,0.75103,0.65872,0.47699,1.01499,1.11616,1.15215,0.0007328,0.0007328,0.0007328
98,5778.06,1.09489,0.8132,1.13759,0.60081,0.76497,0.68691,0.49536,0.99883,1.10104,1.14376,0.0007196,0.0007196,0.0007196
99,5840.73,1.07805,0.79421,1.14312,0.61869,0.73554,0.69307,0.49003,1.00265,1.11112,1.13456,0.0007064,0.0007064,0.0007064
100,5898.18,1.07633,0.78592,1.134,0.61011,0.72417,0.67963,0.48736,1.01976,1.14325,1.14719,0.0006932,0.0006932,0.0006932
101,5957.31,1.08176,0.80322,1.12924,0.58634,0.7424,0.66862,0.48284,1.00455,1.26536,1.15307,0.00068,0.00068,0.00068
102,6015.34,1.07414,0.78003,1.13178,0.60663,0.73967,0.67897,0.48856,0.97064,1.16036,1.11896,0.0006668,0.0006668,0.0006668
103,6072.9,1.08231,0.8048,1.13451,0.56602,0.74587,0.68033,0.4961,1.0161,1.15204,1.15338,0.0006536,0.0006536,0.0006536
104,6129.56,1.06958,0.79116,1.13613,0.57933,0.72314,0.66659,0.48316,1.00392,1.17592,1.15089,0.0006404,0.0006404,0.0006404
105,6186.92,1.05604,0.7662,1.10684,0.57528,0.7438,0.65674,0.4733,1.02558,1.2968,1.15632,0.0006272,0.0006272,0.0006272
106,6244.83,1.06513,0.78523,1.13809,0.55438,0.78306,0.66936,0.49075,0.99663,1.11776,1.14866,0.000614,0.000614,0.000614
107,6301.75,1.0645,0.77184,1.1192,0.56651,0.77893,0.65839,0.48235,1.00111,1.34257,1.14875,0.0006008,0.0006008,0.0006008
108,6358.64,1.07537,0.77152,1.13012,0.59896,0.71178,0.66842,0.48802,1.00716,1.18871,1.1503,0.0005876,0.0005876,0.0005876
109,6416.23,1.05441,0.76041,1.11319,0.59514,0.7376,0.68323,0.48893,1.01079,1.1923,1.15465,0.0005744,0.0005744,0.0005744
110,6473.95,1.07228,0.75826,1.118,0.63171,0.72473,0.68116,0.48537,0.99985,1.17477,1.14227,0.0005612,0.0005612,0.0005612
111,6531.08,1.0338,0.7454,1.10745,0.61233,0.72521,0.67205,0.48221,0.98711,1.27629,1.13217,0.000548,0.000548,0.000548
112,6588.3,1.07444,0.75914,1.10869,0.6298,0.71001,0.68258,0.49245,0.98066,1.12574,1.1224,0.0005348,0.0005348,0.0005348
113,6646.13,1.04063,0.74318,1.10094,0.56831,0.74255,0.65375,0.47235,0.9872,1.28356,1.11659,0.0005216,0.0005216,0.0005216
114,6703.58,1.06617,0.76004,1.10654,0.58375,0.75207,0.66929,0.4876,1.00994,1.21224,1.13268,0.0005084,0.0005084,0.0005084
