epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2372.88,1.55174,1.1635,2.35836,0.83578,0.90702,0.93147,0.70274,1.73788,1.12705,2.59835,0.000834822,0.000834822,0.000834822
65,2409.87,1.51427,1.13779,2.29547,0.87749,0.87932,0.90382,0.68977,1.73098,1.11001,2.54832,0.00082539,0.00082539,0.00082539
66,2446,1.47328,1.14944,2.27175,0.86776,0.92624,0.94088,0.70526,1.76091,1.10561,2.64597,0.000815959,0.000815959,0.000815959
67,2482.43,1.41857,1.09743,2.29618,0.8718,0.92525,0.93941,0.71975,1.72968,1.07874,2.60788,0.000806528,0.000806528,0.000806528
68,2518.44,1.47455,1.10152,2.26815,0.88369,0.89651,0.92849,0.70021,1.76792,1.06729,2.56532,0.000797096,0.000797096,0.000797096
69,2554.6,1.52368,1.13627,2.30453,0.86356,0.90034,0.92155,0.6896,1.79674,1.15565,2.62601,0.000787665,0.000787665,0.000787665
70,2590.86,1.45919,1.07212,2.29744,0.88803,0.92289,0.92299,0.66954,1.9268,1.2223,2.83418,0.000778233,0.000778233,0.000778233
71,2626.91,1.47749,1.08579,2.28768,0.8654,0.91638,0.92591,0.72279,1.74995,1.14715,2.67567,0.000768802,0.000768802,0.000768802
72,2663.21,1.41397,1.0662,2.24273,0.88024,0.86027,0.94025,0.70068,1.87312,1.13945,2.84645,0.000759371,0.000759371,0.000759371
73,2700.24,1.42265,1.05608,2.27871,0.90859,0.85231,0.95273,0.71926,1.93788,1.04856,2.81275,0.000749939,0.000749939,0.000749939
74,2736.72,1.45196,1.02455,2.28201,0.89221,0.92589,0.93848,0.72334,1.75757,1.08892,2.62552,0.000740508,0.000740508,0.000740508
75,2773.06,1.39257,1.04845,2.27686,0.86219,0.92613,0.93373,0.70618,1.8321,1.04303,2.75552,0.000731076,0.000731076,0.000731076
76,2809.27,1.39377,1.00926,2.22768,0.87087,0.90328,0.92245,0.68287,1.87603,1.18611,2.73485,0.000721645,0.000721645,0.000721645
77,2845.57,1.4299,1.06485,2.23859,0.87214,0.89456,0.92358,0.69218,1.68694,1.17165,2.54228,0.000712214,0.000712214,0.000712214
78,2881.54,1.43339,1.0277,2.26211,0.88635,0.89045,0.90353,0.69376,1.67685,1.24754,2.6204,0.000702782,0.000702782,0.000702782
79,2917.6,1.38665,0.95861,2.22464,0.87981,0.91335,0.93532,0.71463,1.81154,1.0735,2.65048,0.000693351,0.000693351,0.000693351
80,2954.19,1.41318,1.11617,2.2508,0.88672,0.94684,0.94155,0.71969,1.70026,1.01629,2.51035,0.000683919,0.000683919,0.000683919
81,2990.78,1.43384,1.13493,2.28501,0.86392,0.88312,0.91376,0.69083,1.73231,1.16568,2.63773,0.000674488,0.000674488,0.000674488
82,3027.93,1.34126,0.98499,2.20859,0.87218,0.91881,0.92894,0.70559,1.77751,1.10453,2.73335,0.000665057,0.000665057,0.000665057
83,3064.33,1.3497,1.00803,2.20073,0.8895,0.91637,0.93378,0.70822,1.81228,1.18391,2.71763,0.000655625,0.000655625,0.000655625
84,3100.92,1.40832,0.95859,2.25335,0.88261,0.93639,0.92104,0.67792,1.78536,1.1824,2.62545,0.000646194,0.000646194,0.000646194
85,3137.62,1.33329,0.95619,2.19832,0.88918,0.92278,0.90969,0.69673,1.75737,1.10708,2.67188,0.000636762,0.000636762,0.000636762
86,3174.32,1.37187,0.95945,2.24827,0.83314,0.93416,0.92452,0.70325,1.69689,1.1378,2.6695,0.000627331,0.000627331,0.000627331
87,3211,1.31255,0.95264,2.18845,0.87592,0.94028,0.95386,0.74424,1.78457,1.0467,2.68369,0.0006179,0.0006179,0.0006179
88,3247.65,1.33865,0.96654,2.18572,0.90406,0.91477,0.93396,0.72947,1.74461,1.14351,2.63826,0.000608468,0.000608468,0.000608468
89,3284.35,1.31086,0.93933,2.17999,0.87843,0.92796,0.90359,0.7013,1.7096,1.2307,2.63125,0.000599037,0.000599037,0.000599037
90,3321.52,1.31729,0.98756,2.2043,0.86539,0.91583,0.90812,0.69525,1.72235,1.15532,2.72152,0.000589605,0.000589605,0.000589605
91,3357.86,1.31325,0.92785,2.19274,0.85109,0.90527,0.90437,0.68593,1.76995,1.29529,2.73445,0.000580174,0.000580174,0.000580174
92,3394.24,1.37734,0.95399,2.22051,0.86982,0.87616,0.90457,0.68797,1.74261,1.32483,2.67309,0.000570743,0.000570743,0.000570743
93,3430.7,1.33818,0.95695,2.20587,0.87137,0.8767,0.90213,0.66779,1.82197,1.24963,2.69049,0.000561311,0.000561311,0.000561311
94,3468.17,1.25485,0.90655,2.13941,0.8731,0.9471,0.93078,0.71761,1.72705,1.09512,2.67305,0.00055188,0.00055188,0.00055188
95,3504.63,1.24815,0.93374,2.16856,0.89607,0.89504,0.93307,0.72308,1.71511,1.073,2.64023,0.000542448,0.000542448,0.000542448
96,3541.11,1.22966,0.87532,2.11433,0.87438,0.93534,0.92317,0.70424,1.76776,1.04668,2.68213,0.000533017,0.000533017,0.000533017
97,3577.38,1.27969,0.93976,2.1645,0.88966,0.90643,0.92049,0.69904,1.76548,1.10417,2.66383,0.000523586,0.000523586,0.000523586
98,3613.52,1.24989,0.87091,2.18633,0.91369,0.88566,0.91516,0.68632,1.80211,1.16802,2.8061,0.000514154,0.000514154,0.000514154
99,3650.7,1.31213,0.95611,2.20026,0.91438,0.91158,0.9263,0.71555,1.75241,1.02937,2.67054,0.000504723,0.000504723,0.000504723
100,3687.05,1.21912,0.87684,2.12189,0.85583,0.9283,0.92707,0.70829,1.67161,1.07819,2.70954,0.000495291,0.000495291,0.000495291
