epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1720.24,1.74273,1.47543,2.69011,0.82394,0.79251,0.84082,0.58515,2.73648,2.02296,3.92264,0.00108388,0.00108388,0.00108388
55,1750.59,1.75728,1.46459,2.67407,0.97828,0.75346,0.86617,0.59966,2.70349,1.75819,3.72231,0.00107288,0.00107288,0.00107288
56,1781.53,1.73892,1.44668,2.72133,0.88409,0.81994,0.87472,0.60962,2.74905,1.93211,3.94642,0.00106188,0.00106188,0.00106188
57,1812.97,1.7856,1.48381,2.72313,0.87825,0.78154,0.86513,0.59165,2.72459,1.99054,3.64377,0.00105088,0.00105088,0.00105088
58,1844.66,1.75634,1.45804,2.70185,0.86902,0.85476,0.88589,0.6401,2.52864,1.69433,3.72423,0.00103987,0.00103987,0.00103987
59,1875.57,1.69565,1.37236,2.68918,0.9355,0.83036,0.88462,0.6168,2.75758,1.93917,3.63331,0.00102887,0.00102887,0.00102887
60,1906.99,1.75313,1.42206,2.68794,0.92944,0.80339,0.90767,0.61876,2.79522,1.6638,3.64624,0.00101787,0.00101787,0.00101787
61,1938.59,1.68779,1.42013,2.66693,0.90158,0.7896,0.90186,0.62201,2.47553,1.71909,3.52939,0.00100687,0.00100687,0.00100687
62,1969.5,1.67567,1.35249,2.63482,0.93937,0.75623,0.89679,0.64555,2.52228,1.74805,3.59778,0.000995866,0.000995866,0.000995866
63,2000.66,1.63335,1.33924,2.62436,0.86467,0.80974,0.86429,0.63207,2.81356,1.81199,3.80612,0.000984864,0.000984864,0.000984864
64,2032.3,1.68478,1.33322,2.62287,0.83774,0.84827,0.89501,0.61456,2.57082,1.73669,3.80288,0.000973861,0.000973861,0.000973861
65,2064.5,1.621,1.28276,2.58753,0.86216,0.80012,0.85766,0.63511,2.6251,1.58003,3.70571,0.000962859,0.000962859,0.000962859
66,2095.33,1.6783,1.2857,2.60372,0.985,0.74586,0.88309,0.61858,2.57555,1.8751,3.50601,0.000951857,0.000951857,0.000951857
67,2126.75,1.55743,1.26297,2.55125,0.79518,0.88873,0.90252,0.65405,2.60957,1.67267,3.68587,0.000940855,0.000940855,0.000940855
68,2158.28,1.62032,1.29414,2.58196,0.87282,0.80237,0.85835,0.61974,2.55978,1.74211,3.60938,0.000929853,0.000929853,0.000929853
69,2188.81,1.5637,1.2531,2.57029,0.96146,0.73001,0.88253,0.61068,2.91324,2.13759,3.91066,0.00091885,0.00091885,0.00091885
70,2219.81,1.64742,1.3933,2.60722,0.92063,0.83861,0.90235,0.62254,2.91985,1.65486,3.87577,0.000907848,0.000907848,0.000907848
71,2250.66,1.62056,1.29093,2.60026,0.91862,0.81338,0.89557,0.64186,2.71679,1.90736,3.89562,0.000896846,0.000896846,0.000896846
72,2281.64,1.61705,1.31192,2.59062,0.8379,0.83377,0.88712,0.63539,2.50959,1.58291,3.63828,0.000885844,0.000885844,0.000885844
73,2312.42,1.5622,1.24304,2.54174,0.9229,0.71463,0.86526,0.60761,2.52385,1.91798,3.47004,0.000874842,0.000874842,0.000874842
74,2343.44,1.58569,1.28916,2.57433,0.88108,0.81442,0.90286,0.67079,2.38509,1.89851,3.55287,0.000863839,0.000863839,0.000863839
75,2374.45,1.54183,1.21311,2.52702,0.92152,0.86175,0.90607,0.65081,2.32016,1.91832,3.38545,0.000852837,0.000852837,0.000852837
76,2405.06,1.529,1.20549,2.5267,0.97297,0.85982,0.91376,0.644,2.56725,1.45848,3.69684,0.000841835,0.000841835,0.000841835
77,2436.07,1.50359,1.24039,2.49835,0.91724,0.84226,0.91518,0.63695,2.54132,1.53408,3.57792,0.000830833,0.000830833,0.000830833
78,2468.31,1.54344,1.22449,2.50163,0.93483,0.78333,0.91229,0.64547,2.49247,1.44379,3.89738,0.000819831,0.000819831,0.000819831
79,2499.05,1.4957,1.19201,2.4712,0.94403,0.78887,0.88549,0.64253,2.49191,1.65858,3.62941,0.000808828,0.000808828,0.000808828
80,2529.96,1.50935,1.16653,2.50625,0.84135,0.86726,0.86979,0.62344,2.55222,1.81131,3.72218,0.000797826,0.000797826,0.000797826
81,2561.27,1.5603,1.22446,2.56806,0.97144,0.83093,0.90856,0.63455,2.58897,1.44098,3.57442,0.000786824,0.000786824,0.000786824
82,2592,1.49664,1.16301,2.49307,0.89174,0.86006,0.92532,0.64729,2.66933,1.64695,3.67734,0.000775822,0.000775822,0.000775822
83,2623.03,1.53695,1.16068,2.52803,0.95983,0.78333,0.90863,0.64348,2.67945,1.60822,3.70968,0.00076482,0.00076482,0.00076482
84,2654.13,1.50233,1.13395,2.49404,0.9446,0.77568,0.87867,0.62834,2.92355,1.88121,4.29775,0.000753817,0.000753817,0.000753817
85,2685.68,1.46484,1.13414,2.49721,0.94439,0.79405,0.90836,0.66316,2.70952,1.53159,3.69884,0.000742815,0.000742815,0.000742815
86,2716.05,1.40083,1.04853,2.43109,0.93415,0.82548,0.90336,0.6549,2.78935,1.79359,3.86944,0.000731813,0.000731813,0.000731813
87,2746.96,1.41337,1.06878,2.44877,0.9582,0.81188,0.91633,0.65376,2.66458,1.58177,3.70801,0.000720811,0.000720811,0.000720811
88,2777.97,1.48717,1.11602,2.48569,0.92966,0.83894,0.89469,0.64692,2.52755,1.34391,3.69283,0.000709809,0.000709809,0.000709809
89,2808.69,1.41496,1.1013,2.45746,0.92559,0.79286,0.89284,0.63557,2.45235,1.46256,3.83773,0.000698806,0.000698806,0.000698806
90,2840.37,1.42259,1.11153,2.46473,0.90884,0.73002,0.83174,0.60982,2.74891,1.55194,3.99822,0.000687804,0.000687804,0.000687804
91,2871.45,1.45164,1.11754,2.44497,0.92805,0.81299,0.88366,0.64305,2.53306,2.00368,3.9398,0.000676802,0.000676802,0.000676802
92,2902.24,1.40121,1.08461,2.43432,0.93687,0.76964,0.89021,0.65695,2.53706,1.73481,3.79857,0.0006658,0.0006658,0.0006658
93,2933.24,1.42796,1.10052,2.45015,0.96406,0.74801,0.90155,0.64645,2.50668,2.24695,3.77069,0.000654798,0.000654798,0.000654798
94,2964.29,1.38379,1.04209,2.40621,0.9316,0.78155,0.88753,0.6668,2.58898,2.1769,3.76582,0.000643795,0.000643795,0.000643795
95,2995.4,1.39097,1.07253,2.38703,0.92233,0.79938,0.88106,0.64573,2.58988,1.89257,3.75713,0.000632793,0.000632793,0.000632793
96,3025.83,1.34039,1.03612,2.40133,0.86265,0.83095,0.86157,0.64908,2.69561,1.6469,3.99502,0.000621791,0.000621791,0.000621791
97,3056.69,1.41,1.07711,2.44671,0.89651,0.86461,0.90645,0.65919,2.81991,1.54365,4.08187,0.000610789,0.000610789,0.000610789
98,3087.4,1.38183,1.05983,2.41981,0.89905,0.85889,0.90967,0.68669,2.69985,1.60739,3.94478,0.000599787,0.000599787,0.000599787
99,3118.5,1.33704,0.99274,2.38692,0.91634,0.87917,0.91033,0.66915,2.94279,1.49379,4.23224,0.000588784,0.000588784,0.000588784
100,3148.96,1.38274,1.00877,2.40791,0.90637,0.85536,0.91407,0.67388,2.94903,1.4833,4.16802,0.000577782,0.000577782,0.000577782
101,3179.69,1.33298,0.99767,2.38258,0.94015,0.85476,0.91716,0.69137,2.54062,1.49879,3.78227,0.00056678,0.00056678,0.00056678
102,3211.76,1.37601,1.02923,2.38178,0.91438,0.87976,0.91214,0.65729,2.58168,1.82445,3.70864,0.000555778,0.000555778,0.000555778
103,3242.84,1.31822,1.00208,2.36327,0.9061,0.83077,0.90807,0.66592,2.48021,1.54913,3.62548,0.000544776,0.000544776,0.000544776
104,3273.5,1.32161,1.00411,2.38012,0.9187,0.83843,0.89986,0.66086,2.73744,1.51854,4.05046,0.000533773,0.000533773,0.000533773
105,3304.81,1.30866,0.93942,2.35882,0.91027,0.8377,0.90422,0.65953,2.61788,1.77686,3.66609,0.000522771,0.000522771,0.000522771
106,3335.67,1.34582,0.9695,2.40184,0.95411,0.82129,0.9098,0.6669,2.64648,1.74633,3.82516,0.000511769,0.000511769,0.000511769
107,3366.27,1.29406,0.9517,2.38569,0.94016,0.8178,0.88869,0.66855,2.61302,1.608,3.62326,0.000500767,0.000500767,0.000500767
108,3396.88,1.25955,0.95809,2.33135,0.96051,0.81144,0.9,0.64645,2.4928,1.83727,3.49163,0.000489765,0.000489765,0.000489765
109,3427.91,1.30047,1.01277,2.36266,0.95793,0.77702,0.87904,0.63891,2.45627,1.93428,3.58457,0.000478762,0.000478762,0.000478762
110,3458.59,1.23952,0.90516,2.30842,0.85368,0.85525,0.89969,0.64073,2.85315,1.42947,4.17258,0.00046776,0.00046776,0.00046776
111,3488.99,1.24524,0.92622,2.35207,0.90392,0.8109,0.88417,0.64049,2.46914,1.67822,3.53755,0.000456758,0.000456758,0.000456758
